Row Labels,Count of VIOLATION CODE
CL21,1
F001,7261
F002,49
F003,51
F004,3943
F005,5924
F006,39690
F007,46250
F008,5508
F009,9116
F010,56
F011,970
F012,43
F013,5691
F014,40080
F015,743
F016,1304
F017,54
F018,232
F019,248
F020,4
F021,7351
F022,1908
F023,30394
F024,1097
F025,13924
F026,9408
F027,21161
F028,242
F029,21209
F030,46742
F031,764
F032,7756
F033,116100
F034,22407
F035,91974
F036,58273
F037,56088
F038,12748
F039,41602
F040,59164
F041,5261
F042,19098
F043,50601
F044,118406
F045,524
F046,18860
F047,725
F048,6217
F049,6984
F050,3179
F051,42
F052,21108
F053,5323
F054,1509
F055,2326
F056,19
F057,78
F058,324
H102,1
MF07,1
MF42,1
SF15,2
W001,10
W002,1
W003,7
W004,4
W005,10
W006,2
W008,5
W009,30
W011,2
W012,2
W014,4
W016,2
W017,15
W018,3
W019,14
W020,7
W021,3
W022,1
W023,23
W024,4
W025,2
W026,3
W027,6
W028,5
W029,5
W030,1
W031,4
W032,3
W033,2
W034,4
W035,2
W036,2
W037,1
W038,2
W039,1
W040,2
W041,5
W042,6
W043,3
W044,4
W045,1
W046,2
W047,8
W048,121
W049,5
W050,14
W051,31
W052,29
W053,29
WP13,1
WP15,1
WP16,1
WP18,1
Grand Total,1048575
